threshold,accuracy,precision,recall,f1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,false_positive_ratio,false_negative_ratio,strategy_name,split_name
0.4,0.97152,0.541862652869238,0.7191011235955056,0.6180257510729614,0.8579536540521092,0.6890824694983948,23712,487,225,576,0.458137347130762,0.2808988764044944,federated_equal_weight_model,bank_2_valid
0.45,0.97684,0.6196120689655172,0.717852684144819,0.6651243493348756,0.8579536540521092,0.6890824694983948,23846,353,226,575,0.38038793103448276,0.28214731585518105,federated_equal_weight_model,bank_2_valid
0.5,0.97916,0.6609195402298851,0.717852684144819,0.6882106523040096,0.8579536540521092,0.6890824694983948,23904,295,226,575,0.3390804597701149,0.28214731585518105,federated_equal_weight_model,bank_2_valid
0.55,0.98096,0.6979293544457978,0.7153558052434457,0.7065351418002466,0.8579536540521092,0.6890824694983948,23951,248,228,573,0.3020706455542022,0.2846441947565543,federated_equal_weight_model,bank_2_valid
0.6,0.98264,0.7398692810457517,0.7066167290886392,0.722860791826309,0.8579536540521092,0.6890824694983948,24000,199,235,566,0.2601307189542484,0.2933832709113608,federated_equal_weight_model,bank_2_valid
0.65,0.9834,0.7725988700564972,0.682896379525593,0.7249834327369119,0.8579536540521092,0.6890824694983948,24038,161,254,547,0.2274011299435028,0.317103620474407,federated_equal_weight_model,bank_2_valid
0.7,0.98364,0.8213114754098361,0.6254681647940075,0.7101346562721474,0.8579536540521092,0.6890824694983948,24090,109,300,501,0.17868852459016393,0.37453183520599254,federated_equal_weight_model,bank_2_valid
0.75,0.98304,0.885480572597137,0.5405742821473158,0.6713178294573643,0.8579536540521092,0.6890824694983948,24143,56,368,433,0.11451942740286299,0.45942571785268416,federated_equal_weight_model,bank_2_valid
0.8,0.98076,0.946927374301676,0.4232209737827715,0.5849870578084556,0.8579536540521092,0.6890824694983948,24180,19,462,339,0.05307262569832402,0.5767790262172284,federated_equal_weight_model,bank_2_valid
0.85,0.97728,0.97165991902834,0.299625468164794,0.4580152671755725,0.8579536540521092,0.6890824694983948,24192,7,561,240,0.02834008097165992,0.700374531835206,federated_equal_weight_model,bank_2_valid
0.9,0.97476,0.9775280898876404,0.21722846441947566,0.355464759959142,0.8579536540521092,0.6890824694983948,24195,4,627,174,0.02247191011235955,0.7827715355805244,federated_equal_weight_model,bank_2_valid
0.1,0.057198856022879545,0.041080003255473264,0.9940915805022157,0.0788995486429981,0.8686376897098517,0.5510434656715597,841,47129,12,2019,0.9589199967445268,0.005908419497784343,federated_equal_weight_model,central_valid
0.15,0.30455390892182155,0.05204399934329338,0.9364844903988183,0.0986079788474998,0.8686376897098517,0.5510434656715597,13326,34644,129,1902,0.9479560006567066,0.06351550960118169,federated_equal_weight_model,central_valid
0.2,0.6455870882582349,0.09068141500573933,0.8557360905957656,0.16398546964193045,0.8686376897098517,0.5510434656715597,30542,17428,293,1738,0.9093185849942607,0.14426390940423436,federated_equal_weight_model,central_valid
0.25,0.7878442431151377,0.13953097419517527,0.8173313638601674,0.23836875358989087,0.8686376897098517,0.5510434656715597,37733,10237,371,1660,0.8604690258048248,0.18266863613983259,federated_equal_weight_model,central_valid
0.3,0.8651226975460491,0.20159554261111814,0.7838503200393895,0.32070910556003224,0.8686376897098517,0.5510434656715597,41665,6305,439,1592,0.7984044573888819,0.21614967996061055,federated_equal_weight_model,central_valid
0.35,0.9134417311653767,0.2852066579390312,0.7508616445100935,0.41339116291677963,0.8686376897098517,0.5510434656715597,44148,3822,506,1525,0.7147933420609688,0.24913835548990645,federated_equal_weight_model,central_valid
0.4,0.9359612807743846,0.35653026219063955,0.7163958641063516,0.47611256544502617,0.8686376897098517,0.5510434656715597,45344,2626,576,1455,0.6434697378093605,0.28360413589364847,federated_equal_weight_model,central_valid
0.45,0.9471810563788724,0.4096563981042654,0.6809453471196455,0.5115590900684298,0.8686376897098517,0.5510434656715597,45977,1993,648,1383,0.5903436018957346,0.3190546528803545,federated_equal_weight_model,central_valid
0.5,0.9513009739805204,0.4311050477489768,0.6223535204332841,0.5093693330646786,0.8686376897098517,0.5510434656715597,46302,1668,767,1264,0.5688949522510232,0.3776464795667159,federated_equal_weight_model,central_valid
0.55,0.9547409051818964,0.45440251572327045,0.569177744953225,0.5053551912568306,0.8686376897098517,0.5510434656715597,46582,1388,875,1156,0.5455974842767296,0.43082225504677496,federated_equal_weight_model,central_valid
0.6,0.9589808203835923,0.4954545454545455,0.5366814377154111,0.5152446230205625,0.8686376897098517,0.5510434656715597,46860,1110,941,1090,0.5045454545454545,0.4633185622845889,federated_equal_weight_model,central_valid
0.65,0.9625007499850003,0.5433333333333333,0.4815361890694239,0.5105716523101018,0.8686376897098517,0.5510434656715597,47148,822,1053,978,0.45666666666666667,0.518463810930576,federated_equal_weight_model,central_valid
0.7,0.9658806823863523,0.6230128690386071,0.4052191038897095,0.49105011933174225,0.8686376897098517,0.5510434656715597,47472,498,1208,823,0.37698713096139286,0.5947808961102905,federated_equal_weight_model,central_valid
0.75,0.9688006239875202,0.7534983853606028,0.34465780403741997,0.47297297297297297,0.8686376897098517,0.5510434656715597,47741,229,1331,700,0.2465016146393972,0.65534219596258,federated_equal_weight_model,central_valid
0.8,0.9687206255874883,0.8885191347753744,0.26292466765140327,0.40577507598784196,0.8686376897098517,0.5510434656715597,47903,67,1497,534,0.11148086522462562,0.7370753323485968,federated_equal_weight_model,central_valid
0.85,0.9670806583868322,0.9661016949152542,0.1964549483013294,0.3265139116202946,0.8686376897098517,0.5510434656715597,47956,14,1632,399,0.03389830508474576,0.8035450516986706,federated_equal_weight_model,central_valid
0.9,0.9651806963860723,0.9865771812080537,0.1447562776957164,0.2524688707599828,0.8686376897098517,0.5510434656715597,47966,4,1737,294,0.013422818791946308,0.8552437223042836,federated_equal_weight_model,central_valid
0.1,0.06219751209951602,0.04970001621533971,0.9967479674796748,0.09467912580122018,0.8646401829379448,0.43763926018772425,329,23442,4,1226,0.9502999837846603,0.0032520325203252032,federated_performance_weighted_model,bank_1_valid
0.15,0.2880284788608456,0.06168659401121574,0.9479674796747968,0.11583548579376117,0.8646401829379448,0.43763926018772425,6035,17736,64,1166,0.9383134059887842,0.05203252032520325,federated_performance_weighted_model,bank_1_valid
0.2,0.5798168073277069,0.09564914116313541,0.891869918699187,0.1727695094101898,0.8646401829379448,0.43763926018772425,13399,10372,133,1097,0.9043508588368646,0.108130081300813,federated_performance_weighted_model,bank_1_valid
0.25,0.7148514059437623,0.1316348195329087,0.8569105691056911,0.2282126231460431,0.8646401829379448,0.43763926018772425,16818,6953,176,1054,0.8683651804670913,0.14308943089430895,federated_performance_weighted_model,bank_1_valid
0.3,0.8061277548898044,0.17917331914138726,0.8211382113821138,0.29416047764671616,0.8646401829379448,0.43763926018772425,19144,4627,220,1010,0.8208266808586128,0.17886178861788618,federated_performance_weighted_model,bank_1_valid
0.35,0.8658853645854165,0.23692688971499382,0.7772357723577236,0.36315289648622984,0.8646401829379448,0.43763926018772425,20692,3079,274,956,0.7630731102850062,0.22276422764227644,federated_performance_weighted_model,bank_1_valid
0.4,0.8966841326346946,0.2840727736993297,0.7235772357723578,0.40797616319046526,0.8646401829379448,0.43763926018772425,21528,2243,340,890,0.7159272263006703,0.2764227642276423,federated_performance_weighted_model,bank_1_valid
0.45,0.9157233710651574,0.32715806070161607,0.6747967479674797,0.4406689673480223,0.8646401829379448,0.43763926018772425,22064,1707,400,830,0.6728419392983839,0.3252032520325203,federated_performance_weighted_model,bank_1_valid
0.5,0.9253629854805808,0.3478468899521531,0.5910569105691057,0.43795180722891563,0.8646401829379448,0.43763926018772425,22408,1363,503,727,0.6521531100478469,0.4089430894308943,federated_performance_weighted_model,bank_1_valid
0.55,0.9306427742890284,0.35500575373993093,0.5016260162601626,0.41576819407008087,0.8646401829379448,0.43763926018772425,22650,1121,613,617,0.6449942462600691,0.4983739837398374,federated_performance_weighted_model,bank_1_valid
0.6,0.937482500699972,0.38266384778012685,0.44146341463414634,0.4099660249150623,0.8646401829379448,0.43763926018772425,22895,876,687,543,0.6173361522198731,0.5585365853658537,federated_performance_weighted_model,bank_1_valid
0.65,0.9445222191112356,0.4297224709042077,0.3902439024390244,0.4090328078397955,0.8646401829379448,0.43763926018772425,23134,637,750,480,0.5702775290957923,0.6097560975609756,federated_performance_weighted_model,bank_1_valid
0.7,0.9494820207191712,0.4769874476987448,0.2780487804878049,0.35130970724191063,0.8646401829379448,0.43763926018772425,23396,375,888,342,0.5230125523012552,0.7219512195121951,federated_performance_weighted_model,bank_1_valid
0.75,0.9552017919283229,0.627906976744186,0.21951219512195122,0.3253012048192771,0.8646401829379448,0.43763926018772425,23611,160,960,270,0.37209302325581395,0.7804878048780488,federated_performance_weighted_model,bank_1_valid
0.8,0.9569617215311388,0.8208333333333333,0.16016260162601625,0.2680272108843537,0.8646401829379448,0.43763926018772425,23728,43,1033,197,0.17916666666666667,0.8398373983739837,federated_performance_weighted_model,bank_1_valid
0.85,0.9568417263309468,0.9575757575757575,0.12845528455284552,0.22652329749103942,0.8646401829379448,0.43763926018772425,23764,7,1072,158,0.04242424242424243,0.8715447154471545,federated_performance_weighted_model,bank_1_valid
0.9,0.9558817647294108,0.9922480620155039,0.1040650406504065,0.188373804267844,0.8646401829379448,0.43763926018772425,23770,1,1102,128,0.007751937984496124,0.8959349593495934,federated_performance_weighted_model,bank_1_valid
0.1,0.05396,0.032490383828463865,0.9912609238451935,0.06291849914814375,0.8579883228942456,0.6872664185983113,555,23644,7,794,0.9675096161715361,0.008739076154806492,federated_performance_weighted_model,bank_2_valid
0.15,0.33124,0.042217876452317955,0.916354556803995,0.08071699565623797,0.8579883228942456,0.6872664185983113,7547,16652,67,734,0.957782123547682,0.08364544319600499,federated_performance_weighted_model,bank_2_valid
0.2,0.7118,0.08361508452535761,0.8027465667915106,0.15145448121540456,0.8579883228942456,0.6872664185983113,17152,7047,158,643,0.9163849154746424,0.1972534332084894,federated_performance_weighted_model,bank_2_valid
0.25,0.85056,0.1463003133285129,0.7578027465667915,0.24525252525252525,0.8579883228942456,0.6872664185983113,20657,3542,194,607,0.8536996866714871,0.2421972534332085,federated_performance_weighted_model,bank_2_valid
0.3,0.9124,0.22945072068562525,0.735330836454432,0.3497624703087886,0.8579883228942456,0.6872664185983113,22221,1978,212,589,0.7705492793143748,0.264669163545568,federated_performance_weighted_model,bank_2_valid
0.35,0.95252,0.37532299741602065,0.7253433208489388,0.4946785866326096,0.8579883228942456,0.6872664185983113,23232,967,220,581,0.6246770025839793,0.2746566791510612,federated_performance_weighted_model,bank_2_valid
0.4,0.97044,0.5284403669724771,0.7191011235955056,0.6092014806980434,0.8579883228942456,0.6872664185983113,23685,514,225,576,0.47155963302752296,0.2808988764044944,federated_performance_weighted_model,bank_2_valid
0.45,0.97628,0.6104033970276008,0.717852684144819,0.6597819850831899,0.8579883228942456,0.6872664185983113,23832,367,226,575,0.3895966029723992,0.28214731585518105,federated_performance_weighted_model,bank_2_valid
